Content,Scenario,Label,Urgency,Sentiment,Has_link,Interaction score,Author
"Tai khoan cua ban da dang ky chuong trinh quang cao tren TikTok, moi thang thu phi 3,600,000 VND. Vui lòng vao https://vpbank.vn.onl de kiem tra hoac de huy",Giả dang cơ quan chức năng,1,3,-0.5,1,0,
SCB Tran trong thong bao. Tai khoan cua quy khach hien tai da bi khoa. Dang nhap https://ebanking.db3mn.com de xac thuc ngay hom nay,Giả dang cơ quan chức năng,1,3,-0.5,1,0,
ACB: Tai khoan cua ban da mo dich vu tai chinh toan cau phi dich vu hang thang la 2.000.000 VND se bi tru trong 2 gio. Neu khong phai ban mo dich vu vui long nhan vao https://acb-online-center.com de huy,Giả dang cơ quan chức năng,1,3,-0.5,1,0,
Vietinbank tran trong thong bao tai khoan cua quy khach hien tai da bi khoa. Dang nhap vao https://www.vniatinbanks.cc de xac thuc ngay hom nay,Giả dang cơ quan chức năng,1,3,-0.5,1,0,
"Bộ giao thông vận tải, xin thông báo ông/bà có biên lai chưa nộp phạt. Hôm nay là thông báo cuối cùng. Yêu cầu nhanh chóng giải quyết mọi thắc mắc Vui lòng liên hệ: 0782320830",Giả dang cơ quan chức năng,1,4,-0.7,0,2,
UNG DUNG VCB DIGIBANK cua ban duoc PHAT HIEN KICH HOAT tren thiet bi la. Neu KHONG PHAI BAN KICH HOAT vui long bam vao https://vietcombank.vn-dll.vip de doi thiet bi hoac de tranh mat tai san,Giả dang cơ quan chức năng,1,3,-0.4,1,0,
TPbank: Tran trong thong bao. Tai lhoan cua quy khach hien tai da bi khoa. Dang nhap https://ebank.tbplik.com de xac thuc ngay hom nay,Giả dang cơ quan chức năng,1,3,-0.5,1,0,
"Tai khoan cua ban da dang ky chuong trinh quang cao tren TikTok, moi thang thu phi 2,250,000 VND. Vui lòng vao https://msb.vn-cvs.top de kiem tra hoac de huy",Giả dang cơ quan chức năng,1,3,-0.4,1,0,
"Chào chị. Tôi là Phương - công chức tại cơ quan Thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn . Sau khi đã tải app xong, chị hãy phản hồi lại tin nhắn này để chúng tôi theo dõi và hướng dẫn các bước tiếp theo.",Giả dang cơ quan chức năng,1,2,0,1,1,
"Tai khoan cua ban dang duoc dang nhap tren thiet bi khac, neu khong phai ban dang nhap vui long vao https://vietcombank.vn-yys.club de sua doi mat khau hoac thoat khoi thiet bi kia",Giả dang cơ quan chức năng,1,3,-0.4,1,0,
Gì ơi tk gì còn tiền k cháu mượn chuyển giùm cháu vô stk này 8 triệu chiều cháu gửi lại gì. Cháu ck mà lỗi mạng á. BIDV: 98163910192,Giả dạng người thân,1,3,0,0,7,
Xin chào! Chúc mừng bạn đã trờ thành nhân viên bình luận Tiktok. Add zalo kết bạn để nhận được 10k - 100k miễn phí. zalo: 01234563597,Trúng thưởng,1,1,0.5,0,2,
"THÔNG BÁO  
Xin Chúc Mừng Tài Khoản FACEBOOK Của [Diep Ha] Đã May Mắn Nhận Được Giải Nhất Từ Sự Kiện "" Tri Ân Khách Hàng"" 
Tài Khoản FaceBook App của [Diep Ha] Mang Mã Số Trúng Thưởng Là (""208A79"") Đã May Mắn Được Hệ Thống Lựa Chọn Ngẫu Nhiên, Xác Nhận Là Tài Khoản Đã Trúng Thưởng. 
Phần Quà Giải Nhất Của Bạn Gồm: 
1 Xe Máy HonDa SH 125i Việt Nam "" Trị Giá 81.000.000 VNĐ""
1 Phiếu Quà Tặng Tiền Mặt "" Trị Giá 200.000.000 VNĐ""
1 Thẻ Sử Dụng Xăng Miễn Phí 1 Năm (Trị giá 5.000.000 VNĐ) ",Trúng thưởng,1,1,1,0,1,
"FACEBOOK THÔNG BÁO  
Xin Chúc Mừng Tài Khoản FACEBOOK Của Bạn Với Mã Số (TN159379) Đã May Mắn Nhận Được Giải Nhất Từ Sự Kiện "" Tuần Lễ Vàng"" 
Tập Đoàn Mạng Xã Hội FACEBOOK Xác Nhận Là Tài Khoản Của Bạn Đã Trúng Thưởng
Phần Quà Giải Nhất Của Bạn Gồm: 
1 Xe Máy HonDa SH 125i Việt Nam "" Trị Giá 81.000.000 VNĐ""
1 Phiếu Quà Tặng Tiền Mặt "" Trị Giá 200.000.000 VNĐ""
Bây giờ Bạn Cần Truy Cập Website: quatanvnn.com
Mọi Thắc Mắc Xin Liên Hệ CSKH",Trúng thưởng,1,1,1,0,1,
Chúc mừng chủ tài khoản Shopee APC219. Shopee xin trân trọng thông báo tài khoản Shopee của quý khách đã rất may mắn nhận được thẻ quà tặng tiền mặt trị giá 200.000.000đ từ Quà Tặng Shopee 2022. Nhận Quà Tặng Shopee - Truy Cập ngay (https://shopee.vn-trangchu.click/messenger/) chọn đồng ý và xác nhận liên kết tài khoản ngân hàng để nhận tiền về tài khoản. Shopee kình gửi!,Trúng thưởng,1,1,0.8,1,2,
Xin chúc mừng bạn hiweiehrh@gmail.com đã trùng thưởng 1 xe máy SH trị giá 97 triệu đồng. Vui lòng truy cập website: www.traogiainammoi2022.com để hoàn tất hồ sơ nhận thưởng.,Trúng thưởng,1,1,0.9,1,1,
"Chúc mừng chủ tài khoản Shopee gr666n đã nhận được quà tặng Tri Ân Khách Hàng bao gồm: 
8.888.000VNĐ từ ví Shopee
1.000.000 Xu Shopee
20 Mã FREESHIP và 02 Voucher hoàn xu 388K.
Vui lòng xác nhận tài khoản ibanking ngân hàng của quý khách hàng với Shopee để nhận tiền về tài khoản, nhấn vào https://shopeexu.vn/ chọn Đồng ý để xác nhận tài khoản nhận tiền Shopee",Trúng thưởng,1,1,0.8,1,0,
Xin chúc mừng tài khoản Shopee [btrepro] Bạn nhận được 1 phiếu quà tặng trị giá 100.000.000đ từ Shopee nhanh tay liên kết tài khoản ngân hàng nhận thưởng tại trang chỉ trao thưởng Shopee Website chính thức WWW.XACNHANGIAODICH365.COM. Chúc quý khách nhận thưởng thành công.,Trúng thưởng,1,1,0.7,1,0,
"Ngan Hang VPBANK THONG BAO. 
Chuc Mung Tai Khoan Cua Ban Nhan Duoc 1 Luot ""QUAY SO - MIEN PHI"", Nhan Ngay 1 Trong 3 Phan Qua Gom: 
1 iPhone 11 512GB
1 Tivi LG 4k
10 Trieu Đong Vao Tai Khoan.
Truy Cap Website: https://login -online.com.vn/ De Thuc Hien Luot QUAY SO MAY MAN MIEN PHI. Goi Vao 1900545415. Xin Cam On!",Trúng thưởng,1,1,0.8,1,0,
Chúc mừng chủ tài khoản Shopee APC219. Shopee xin trân trọng thông báo tài khoản Shopee của quý khách đã rất may mắn nhận được thẻ quà tặng tiền mặt trị giá 200.000.000đ từ Quà Tặng Shopee 2022. Nhận Quà Tặng Shopee - Truy Cập ngay (https://shopee.vn-trangchu.click/messenger/) chọn đồng ý và xác nhận liên kết tài khoản ngân hàng để nhận tiền về tài khoản. Shopee kình gửi!,Trúng thưởng,1,1,0.7,1,2,
"Xin chúc mừng TB0913838170 Da trung thuong ""1 IP5s"" trong chuong trinh du thuong cuoi nam 
Lien He: 1>9>0>0>1>9>9>5 de nhan giai. De nghi LH truoc ngay 28/01",Trúng thưởng,1,1,0.7,0,2,
Cả nhà có đứa cháu đang tham gia chương trình mẫu nhờ mọi người vào like ủng hộ được không. Em có zalo không gửi số sang đây anh đăng kí cho,Giả dạng người thân,1,2,0.2,0,7,
Tài khoản còn đủ 30 triệu không nhờ gửi giúp vào tài khoản này có việc tí 6 giờ gửi lại được không? Tk còn tiền mà lỗi hệ thống mãi không chuyển được. TPBank: 019921912219.,Giả dạng người thân,1,4,0.1,0,8,
"Thầy cô nhận được tiền sẽ cập nhật ngay trong biên lai sẻ gửi qua email trong 7 ngày
Em chuyển vào thầy kế toán trưởng nhé
060189202388 ngân hàng thương tín. Thầy Hoàng Trung Le
em gửi 24.500.00 hôm sau e nhận lại 500.000",Giả dạng người thân,1,4,0.1,0,1,
"301002128329 Shb Viên Thị Hồng thắm tmcp sài gòn hà nội
Chi phí đóng tiền tạm ứng của cháu là 20tr chị gửi rồi báo em làm thủ tục cho cháu chị nha
Chị ơi bây giờ bé mất máu nhiều quá mà bệnh viện không đủ máu cần chuyền máu từ bệnh viện khác chi phí mất 100tr chị ạ",Giả dạng người thân,1,5,-0.5,0,6,
Con tính làm dịch vụ chuyển tiền quốc tế. Bây giờ nhiều người cần chuyển tiền về mà hết hạn visa. Cứ có khách bên này cần chuyển tiền về việt nam 10 triệu thì mình có lãi được 700-1 triệu,Giả dạng người thân,1,3,-0.1,0,9,
"Cam tu oi Anh là em của chị Lan, Chị Lan nói em là bác sỹ chuyên về xương khớp ngày mai bận lắm không anh chở mẹ qua khám",Giả dạng người thân,1,3,0,0,0,
Bên này con đang muốn làm thêm dịch vụ chuyển tiền và đổi tiền. Cứ mỗi giao dịch của khách 10 triệu con tính phí 700 đến 1 triệu. Nên con hỏi mẹ nếu được thì con nhận tiền của khách chắc chắn xong gữi về cho mẹ. Mẹ nhận được tiền thì liên lạc với người nhà khách ở v giữ lại cho người ta được không.,Giả dạng người thân,1,3,-0.1,0,0,
"KIỂM TRA SỔ SÁCH PHHS CHƯA ĐÓNG KHOẢN PHÍ ĐẦU NĂM Ạ. 
nay hạn chót rồi á PH",Giả dạng người thân,1,3,-0.2,0,5,
"Bác sĩ bảo là bị trấn thương sọ não anh 
Giờ cần phải phẫu thuật gấp 
Giờ em lại không mang theo tiền để làm thủ tục anh ạ. Cháu gấp lắm rồi. Không là nguy cơ đến tính mạng anh ạ ",Giả dạng người thân,1,5,-0.7,0,6,
"Nợ bọn tao cũng đã nhắc nhở mày rồi NGUYỄN THỊ PHƯƠNG. Nếu mày cố tình không hợp tác thanh toán khoản vay 1.300.000đ cho APP đúng hẹn thì trong vòng 2 tiếng nữa bọn tao sẽ Cắt ghép hình Phúng Điếu, Đám tang, S,e,x, Lam Gái (Mẹ, vợ, con gái, chị em gái,...) lên các trang MXH như TIKTOK, FACEBOOK, ZALO, WEBS, E, X, ... Danh dự của Mày và Người thân Gia Đình là do mày quyết định. NỢ LÀ PHẢI TRẢ, TIỀN LÀ M,Á,U. Link thanh toán https://i.xil.asia/uXhCKv",Đời thường ,1,5,-1,1,0,
"NGUYỄN VĂN TÚ
098301383
Số tiền: 2.500.000
ngày thanh toán 01/02/2026
NỘI DUNG THANH TOÁN: HỌ VÀ TÊN + SDT
Link APP: https://linkvloenmnn.com Anh bên vayloan khoản đăng ký hạn cuối cùng vui lòng thanh toán trước 16h. để được tín dụng tốt đăng ký lại hạn mức cao hơn. Thông tin khoản vay đã gửi, vui lòng vào link app kiểm tra thanh toán gửi biên lai xác nhận. Hồ sơ giữ đến tối nay, nếu không vào link app thanh toán gửi bill, hệ thống sẽ chuyển nhóm nợ gọi danh bạ và người thân và đăng ảnh lên fb. ",Đời thường ,1,4,-1,1,0,
Đúng địa chỉ chưa người đẹp? Sinh năm 2007 cầm 20 triệu gọi tới số thuê bao là mệt nha em gái,Đời thường ,1,3,-1,0,0,
"MC THONG BAO
Hien tai, NGAN HANG van chua nhan duoc giao dich tra gop nao tu Ong/Ba. HOP DONG vay gop so 100929201200120 van dang tre han thanh toan. Yeu cau Ong/Ba thanh toan so tien toi thieu la: 1,367,574 VND cham nhat truoc 17h ngay 08/01. Neu sau thoi gian ho tro van tiep tuc tron tranh, MC se gui giay bao no ve noi lam viec va U.B.N.D dia phuong. Cong tac TAI THAM DINH xem xet THU HOI VON se duoc thuc hien trong vong 48 gio sau khi thoi gian ho tro ket thuc",Đời thường ,1,3,-0.8,0,0,
"NGUYỄN THỊ ÁI NHI, đã đến hạn thanh toán. Yêu cầu thanh toán gấp số tiền: 1,300,000đ để giữ uy tín khoản vay và hỗ trợ duyệt hạn mức cao hơn lên đến 10,000,000đ. Trước 11H00 hôm nay không thanh toán. Bọn này TRUY XUẤT danh bạ thông báo nợ đến gia đình, dòng họ, bạn bè. - Link thanh toán: http://i.xil.asia/uXhCkv.",Đời thường ,1,4,-1,1,0,
